feature_name,num_sources,num_numeric_sources,num_discrete_sources,discretizer_in_use,normalizer_in_use,group_in_use,binary_in_use,max_discrete_source_value,min_discrete_source_value,avg_discrete_source_value,std_discrete_source_value,max_chi_source_opattr_value,min_chi_source_opattr_value,avg_chi_source_opattr_value,std_chi_source_opattr_value,max_numeric_source_value,min_numeric_source_value,avg_numeric_source_value,std_numeric_source_value,max_ttest_source_opattr_value,min_ttest_source_opattr_value,avg_ttest_source_opattr_value,std_ttest_source_opattr_value,V13_avg_t,V13_std_t,V13_max_t,V13_min_t,feat_mutual_info
V1_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,28.0,48.204878048780486,7.881251331235638,-103.496828515387,-103.496828515387,-103.496828515387,0.0,12.195183916302737,53.278037318293904,84.52430450608765,-106.06647170747169,0.06678115843406586
V2_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7219512195121951,0.4480375611006842,26.556947573975872,26.556947573975872,26.556947573975872,0.0,-3.37220946536001,49.16077394796051,50.82906924800761,-100.75175856842661,0.046914690846918676
V3_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.951219512195122,0.9563961703923879,26.04240155104227,26.04240155104227,26.04240155104227,0.0,1.0569902925371462,53.75574778692472,64.99966016774016,-101.63811870043575,0.24998811066043133
V4_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,98.0,133.97073170731707,17.66901993089212,-116.59464095068972,-116.59464095068972,-116.59464095068972,0.0,9.474094013071037,47.900790681110806,84.1466664985053,-82.31605166062862,0.025397457456824278
V5_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,-9.0,236.45853658536586,90.69845233737455,-37.09906310164184,-37.09906310164184,-37.09906310164184,0.0,8.446512778412087,58.67655610442054,92.90208752427047,-104.84000210336863,0.046738694502523936
V6_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-0.08780487804878048,1.2886360953805645,inf,inf,inf,,34.53348836990525,78.99440399952536,141.45855271489307,-100.33404531995689,0.01298285433630315
V7_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,0.18048780487804877,0.7973185280784165,1845.9999999999995,1845.9999999999995,1845.9999999999995,0.0,45.97542232050922,90.3952964474713,161.22109144259434,-100.81529474414758,0.011567316020198594
V8_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,82.0,139.42439024390245,23.89775763016582,-88.13421810368799,-88.13421810368799,-88.13421810368799,0.0,10.310868217831581,49.04657472754717,79.09149085828186,-100.6541381062935,0.08459815631977402
V9_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2731707317073171,0.44558779499197027,12.317757836817828,12.317757836817828,12.317757836817828,0.0,-12.861708954261678,47.55181517232808,39.48194529791925,-107.96347428694142,0.22552871500187732
V10_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.573170731707317,0.8927962076597658,20.044200478043006,20.044200478043006,20.044200478043006,0.0,-11.085336390972472,51.66981257991828,62.781008489208396,-108.4185812846239,0.24734771993504082
V11_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0,-5.229268292682927,5.184509944733777,139.69532901459857,139.69532901459857,139.69532901459857,0.0,-13.039645446524451,47.06811570210125,42.294524542725824,-106.52697331397734,0.27926310143825234
V12_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,-8.86829268292683,1.3993794834593465,228.30342041163894,228.30342041163894,228.30342041163894,0.0,-19.609547622309567,45.51604396962157,34.67744439800786,-107.47638101306264,0.006450797640617469
V13_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-9.0,-8.019512195121951,3.6438534623018706,94.90451461441626,94.90451461441626,94.90451461441626,0.0,-16.789970883283186,46.759054725548694,56.659287992203176,-105.35715056212493,0.04128943445203864
V1_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,28.0,48.204878048780486,7.881251331235638,-88.7310900294248,-88.7310900294248,-88.7310900294248,0.0,-8.719322338329468,50.7535980046784,94.98101579667731,-108.19816721639849,0.06533528357699121
V2_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7219512195121951,0.4480375611006842,,,,,-14.602687169144483,54.59091584794212,91.08756503536709,-107.92810145361541,0.046914690846918676
V3_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.951219512195122,0.9563961703923879,-51.540643721774984,-51.540643721774984,-51.540643721774984,0.0,-11.644292538294144,55.200473567690516,95.50719431840284,-107.84807391487251,0.24998811066043133
V4_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,98.0,133.97073170731707,17.66901993089212,-109.08037939495563,-109.08037939495563,-109.08037939495563,0.0,-9.04287316727367,47.13798200394461,93.76918402803425,-87.21235465726737,0.025397457456824278
V5_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,-9.0,236.45853658536586,90.69845233737455,-37.234296262769945,-37.234296262769945,-37.234296262769945,0.0,-14.434623344883866,54.28055676621953,93.78589083549511,-108.02537909629892,0.046738694502523936
V6_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-0.08780487804878048,1.2886360953805645,12.056903742884732,12.056903742884732,12.056903742884732,0.0,-12.515435455420226,56.4083966734722,99.2495484391359,-107.60679720310253,0.01298285433630315
V7_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,0.18048780487804877,0.7973185280784165,12.889064191975766,12.889064191975766,12.889064191975766,0.0,-13.256235774082839,56.126117077611795,98.79184233477555,-107.62278865151353,0.011567316020198594
V8_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,82.0,139.42439024390245,23.89775763016582,-83.79584688655841,-83.79584688655841,-83.79584688655841,0.0,-8.707855235130102,50.750621911237026,94.85518158629758,-107.63108697044628,0.08459815631977402
V9_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2731707317073171,0.44558779499197027,,,,,-19.407459263707562,54.00679011847903,91.12122197516285,-108.65447605729226,0.22552871500187732
V10_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.573170731707317,0.8927962076597658,-9.16952317383327,-9.16952317383327,-9.16952317383327,0.0,-20.21162943172993,53.7132064318573,90.96881210464748,-108.46487935006712,0.24734771993504082
V11_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0,-5.229268292682927,5.184509944733777,16.660179111351578,16.660179111351578,16.660179111351578,0.0,-20.13783471510398,53.31458291146272,91.2296774206506,-108.48578189824836,0.27926310143825234
V12_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,-8.86829268292683,1.3993794834593465,95.9182759196391,95.9182759196391,95.9182759196391,0.0,-29.666698721887727,41.744378678922246,31.43872711901365,-108.30437644914976,0.006450797640617469
V13_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-9.0,-8.019512195121951,3.6438534623018706,33.78600707588838,33.78600707588838,33.78600707588838,0.0,-23.972488161156345,51.037638629196834,89.59773250135441,-108.14398052038325,0.04128943445203864
V1_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0000000000005,2050.0000000000005,2050.0000000000005,0.0,66.0,28.0,48.204878048780486,7.881251331235638,-4.018341284654557e-15,-4.018341284654557e-15,-4.018341284654557e-15,0.0,55.68350095121908,61.018326450250306,102.88202819459079,-70.55454562131278,0.06663510889785823
V2_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1844.9999999999998,1844.9999999999998,1844.9999999999998,0.0,1.0,0.0,0.7219512195121951,0.4480375611006842,5.679059782719002e-16,5.679059782719002e-16,5.679059782719002e-16,0.0,-13.691888131891583,55.8284661836576,97.19990644821935,-107.75521924201325,0.04680950541591747
V3_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1844.9999999999998,1844.9999999999998,1844.9999999999998,0.0,4.0,1.0,2.951219512195122,0.9563961703923879,-4.041604412342836e-16,-4.041604412342836e-16,-4.041604412342836e-16,0.0,11.7667613375002,68.74947671529554,120.13764453117255,-106.13266113329573,0.05700833000739347
V4_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,200.0,98.0,133.97073170731707,17.66901993089212,-5.30728151200915e-15,-5.30728151200915e-15,-5.30728151200915e-15,0.0,273.34399934709353,129.10651211118017,356.2590182374714,-16.185739690999775,0.04551099636570323
V5_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,603.0,-9.0,236.45853658536586,90.69845233737455,5.197820971422749e-16,5.197820971422749e-16,5.197820971422749e-16,0.0,125.67214007677273,36.46724539571371,148.47899679558108,40.27598209540629,0.008676728617921963
V6_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1230.0,1230.0,1230.0,0.0,1.0,-9.0,-0.08780487804878048,1.2886360953805645,1.5816333719387856e-16,1.5816333719387856e-16,1.5816333719387856e-16,0.0,-23.073381932529145,52.57833872014491,88.53341449977317,-108.30880047536591,0.04950141039705634
V7_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,2.0,-9.0,0.18048780487804877,0.7973185280784165,-7.933947910470252e-17,-7.933947910470252e-17,-7.933947910470252e-17,0.0,-19.985366935602496,53.54063991540294,91.58085895993251,-108.06209931804676,0.0374308662546311
V8_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,188.0,82.0,139.42439024390245,23.89775763016582,4.375337564264775e-15,4.375337564264775e-15,4.375337564264775e-15,0.0,129.62089785928865,66.99188161997105,179.13852911295294,-15.096133225508481,0.06372275562360284
V9_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,1.0,0.0,0.2731707317073171,0.44558779499197027,-2.605599698311389e-16,-2.605599698311389e-16,-2.605599698311389e-16,0.0,-19.120348476946482,54.186093668166656,93.12113178728448,-108.26828332057741,0.05821975656383541
V10_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,4.0,0.0,0.573170731707317,0.8927962076597658,1.4467592530013686e-16,1.4467592530013686e-16,1.4467592530013686e-16,0.0,-15.596468425137331,55.44312211555278,95.74014188382853,-108.18095457593729,0.05929593024047068
V11_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,3.0,-9.0,-5.229268292682927,5.184509944733777,3.0556590086449783e-16,3.0556590086449783e-16,3.0556590086449783e-16,0.0,-49.583838846771215,40.484016314483945,23.436493888986643,-119.13378605535472,0.060596222996526984
V13_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1025.0,1025.0,1025.0,0.0,7.0,-9.0,-8.019512195121951,3.6438534623018706,-3.8202973314942754e-16,-3.8202973314942754e-16,-3.8202973314942754e-16,0.0,-85.14966335964233,46.30238743706471,7.836767768484496,-144.78533355484564,0.012297730909609405
V1_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0000000000005,2050.0000000000005,2050.0000000000005,0.0,0.9999999999999999,0.0,0.5317073170731708,0.20740135082199043,4.427151700072536e-14,4.427151700072536e-14,4.427151700072536e-14,0.0,-14.8736503886391,53.21237397846861,94.96512414052893,-108.18601614781431,0.06663510889785823
V2_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1844.9999999999998,1844.9999999999998,1844.9999999999998,0.0,1.0,0.0,0.7219512195121951,0.4480375611006842,5.679059782719002e-16,5.679059782719002e-16,5.679059782719002e-16,0.0,-12.638665967899927,53.76219635337601,97.19990644821935,-107.75521924201325,0.04680950541591747
V3_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1844.9999999999998,1844.9999999999998,1844.9999999999998,0.0,1.0,0.0,0.6504065040650405,0.3187987234641293,-2.22288242678856e-15,-2.22288242678856e-15,-2.22288242678856e-15,0.0,-13.390323720968572,53.699759096175,97.4094032311434,-107.84822394675754,0.05700833000739347
V4_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,0.9999999999999999,0.0,0.35265423242467714,0.17322568559698154,-8.928395460307061e-16,-8.928395460307061e-16,-8.928395460307061e-16,0.0,-16.710721491892034,52.47021503188073,93.91602790249206,-108.11334192650872,0.04551099636570323
V5_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,1.0,0.0,0.4010760401721664,0.14820008551858585,1.4857222647595935e-15,1.4857222647595935e-15,1.4857222647595935e-15,0.0,-16.128659653649443,52.56941658594297,94.31653690676004,-107.99342346580427,0.008676728617921963
V6_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,1640.0000000000002,1640.0000000000002,1640.0000000000002,0.0,1.0,0.0,0.8912195121951222,0.12886360953805648,-3.3335964916248254e-14,-3.3335964916248254e-14,-3.3335964916248254e-14,0.0,-10.664224133755674,54.616540253584745,99.58828649958218,-107.57050622866966,0.04950141039705634
V7_norm_group_by_V1_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.824390243902439,2.062059175395228,2050.0,2050.0,2050.0,0.0,1.0,0.0,0.8345898004434589,0.07248350255258332,-2.8582047347469084e-14,-2.8582047347469084e-14,-2.8582047347469084e-14,0.0,-11.295570494401659,54.3605065564318,99.01369870059906,-107.61380535499065,0.0374308662546311
