feature_name,num_sources,num_numeric_sources,num_discrete_sources,discretizer_in_use,normalizer_in_use,group_in_use,binary_in_use,max_discrete_source_value,min_discrete_source_value,avg_discrete_source_value,std_discrete_source_value,max_chi_source_opattr_value,min_chi_source_opattr_value,avg_chi_source_opattr_value,std_chi_source_opattr_value,max_numeric_source_value,min_numeric_source_value,avg_numeric_source_value,std_numeric_source_value,max_ttest_source_opattr_value,min_ttest_source_opattr_value,avg_ttest_source_opattr_value,std_ttest_source_opattr_value,db5_avg_t,db5_std_t,db5_max_t,db5_min_t,feat_mutual_info
tau4_disc,1,1,0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99699100000001,-74.96029200000001,0.23238862800837118,43.45410753031278,9.856862372687704,9.856862372687704,9.856862372687704,0.0,102.95065329653038,37.689518666527626,131.65899998358162,8.72692969911111,0.07419868537321037
tau4_norm,1,1,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99699100000001,-74.96029200000001,0.23238862800837118,43.45410753031278,0.4719334086293848,0.4719334086293848,0.4719334086293848,0.0,-34.40209438542891,57.60365489874918,28.32811872113835,-94.47307062237124,0.07419868537321037
theta2_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.00000000001,57340.00000000001,57340.00000000001,0.0,2.355649,-2.3555200000000003,0.002095732124171607,1.369314570290489,2.0578393025505645e-15,2.0578393025505645e-15,2.0578393025505645e-15,0.0,-77.17699079488288,79.88050120361135,1.6963138607391652,-161.3104969183845,0.04112508231096296
theta3_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.0,57340.0,57340.0,0.0,2.355813,-2.355686,0.00498267875828392,1.362605232664949,-1.7230642857130366e-15,-1.7230642857130366e-15,-1.7230642857130366e-15,0.0,-76.97585039546944,79.79936443565698,1.7014174094453205,-161.09918972864625,0.03722269753641056
theta4_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.00000000001,57340.00000000001,57340.00000000001,0.0,2.353252,-2.354597,-0.013225829787234047,1.3550120532931753,-2.4250287129963975e-15,-2.4250287129963975e-15,-2.4250287129963975e-15,0.0,-78.53820743146923,80.61728432258617,1.6695085969089356,-163.39385075372516,0.028079164299285683
theta5_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.0,57340.0,57340.0,0.0,2.355229,-2.355844,-0.002101799093128707,1.3551722805994253,5.629861615688993e-16,5.629861615688993e-16,5.629861615688993e-16,0.0,-77.60866765382045,80.14408859368615,1.6889877156465338,-162.25256214554565,0.03849458041480109
theta6_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.00000000001,57340.00000000001,57340.00000000001,0.0,2.3542509999999996,-2.355827,-0.017411071852110216,1.3691384507885465,1.6457396964489032e-15,1.6457396964489032e-15,1.6457396964489032e-15,0.0,-78.87268889451718,80.7804953051897,1.6621748946900559,-164.0739210790117,0.03740119492856408
thetad1_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57339.99999999999,57339.99999999999,57339.99999999999,0.0,2.355743,-2.355614,0.001355829787234047,1.35664151174761,-4.1525307711791717e-16,-4.1525307711791717e-16,-4.1525307711791717e-16,0.0,-77.38369897032412,80.06262140616612,1.695059068370912,-161.91653693979782,0.010380207573231921
thetad3_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.0,57340.0,57340.0,0.0,2.354737,-2.3545119999999997,-0.010766487443320543,1.3370349830580126,1.2636666581347341e-15,1.2636666581347341e-15,1.2636666581347341e-15,0.0,-78.42558725433526,80.6086363742757,1.6738480244993845,-163.3794850651756,0.009080084262817246
thetad4_group_by_tau4_disc_and_mean,2,1,1,False,False,True,False,11.0,1.0,5.515172654342519,2.889554573442785,57340.0,57340.0,57340.0,0.0,2.3557770000000002,-2.355339,0.007710821241716079,1.356745719874159,-8.304523965249818e-16,-8.304523965249818e-16,-8.304523965249818e-16,0.0,-76.85758834852558,79.79605378662664,1.7061940296688463,-160.74228773185328,0.009406971878427896
