0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120|121|122|123|124|125|126|127|128|129|130|131|132|133|134|135|136|137|138|139|140|141|142|143
1|0|0|0|0|1|1|0|1|0|0|1|-0.555556|0|0|0|0|0|1|1|1|1|-0.478261|0|0|1|1|0|0|0|0|0|1|1|0|0|0|0|1|1|0|0|1.5714299999999999|0|5|0|1|0|1|0|0|0|1|1|1|0.8909090000000001|1|0|-0.781818|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|1|0|1|0|0|0|0|0|0|1|0|0|0|0|1|1|1|0|0|0|1|1|0|0|1|0|0|0|1|0|0|0|1|1|0|0|0|1|0|0|0|0|-0.733333|0|0|0|0|-0.647059|0|0|1|1|0|1|0|1|0|1|0|0|0
0|0|0|0|0|0|0|0|0|0|0|0|-0.625|0|0|0|0|1|0|0|1|1|-0.851852|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|1.02857|0|3|0|0|0|0|0|0|0|1|0|0|1.41667|1|0|-0.666667|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|0|1|0|0|1|0|0|1|1|0|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|-0.52|0|0|0|0|-0.612903|1|0|1|0|0|0|1|0|1|0|0|0|0
0|0|0|0|0|1|0|0|0|0|0|0|-0.636364|0|0|0|0|1|0|0|0|0|-0.684211|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.942857|0|0|0|0|0|0|1|0|0|0|0|0|0.212121|0|0|-0.636364|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.555556|0|0|0|0|-0.714286|0|0|0|0|0|1|0|0|1|0|0|0|1
0|0|0|0|0|1|0|0|1|0|0|0|-0.612903|0|0|0|0|0|0|0|0|0|-0.733333|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.8|1|0|0|0|0|0|0|0|0|0|0|0|0.25|0|0|-0.571429|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|-0.789474|0|0|0|0|-0.2|0|0|0|0|0|0|0|0|0|0|1|0|0
0|0|0|0|0|0|1|0|1|0|1|0|-0.733333|0|0|0|1|0|0|0|1|1|-0.538462|0|0|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1.62857|0|2|0|0|0|0|0|0|0|0|0|0|0.754386|0|0|-0.789474|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.625|0|0|0|0|-0.538462|1|0|1|0|0|0|1|0|0|0|1|0|0
0|0|0|0|1|1|0|0|0|0|0|0|-0.647059|0|0|0|0|0|0|0|0|0|-0.733333|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1.05714|0|0|0|0|0|0|0|0|0|0|0|0|1.0270299999999999|0|0|-0.675676|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|1|0|0|1|0|1|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|-0.781818|0|0|0|0|-0.8125|0|0|0|0|0|0|1|0|0|0|0|0|0
0|0|0|0|0|0|0|0|1|0|0|0|-0.666667|0|0|0|0|0|0|0|1|0|-0.8|0|1|1|1|0|0|0|0|0|0|0|0|1|0|1|0|1|1|0|0.9714290000000001|0|1|0|0|1|0|0|0|0|1|1|0|0.5|0|0|-0.647059|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.666667|0|0|0|0|-0.675676|1|0|0|0|0|0|0|0|0|0|1|0|0
0|0|0|0|0|0|1|0|0|0|0|0|-0.666667|0|1|0|1|1|1|1|1|0|-0.555556|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1.08571|0|1|0|0|0|0|0|0|1|0|0|0|1.26316|0|0|-0.684211|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.764706|0|0|0|0|-0.647059|1|0|0|0|0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|1|0|0|0|1|1|-0.52|0|0|0|0|0|1|1|1|0|-0.777778|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|1|1|0|0|1.2|0|5|0|0|0|0|0|0|0|1|0|0|1.47619|1|1|-0.714286|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|-0.744681|0|0|0|0|-0.777778|1|0|1|1|0|0|0|0|1|0|0|0|0
0|0|0|0|1|1|0|0|0|0|0|0|-0.647059|0|0|0|0|0|0|0|0|0|-0.6|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.02857|0|0|0|0|0|0|0|0|0|1|0|0|0.666667|0|0|-0.666667|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|-0.79661|0|0|0|0|-0.538462|0|0|0|0|0|1|1|0|1|0|1|0|0
0|0|0|0|0|0|0|0|1|0|0|0|-0.657143|1|0|0|0|0|0|0|0|1|-0.625|0|0|1|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0.857143|0|1|0|0|0|0|1|0|0|0|0|0|0.633333|0|0|-0.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.538462|0|0|0|0|-0.52|1|0|0|0|0|0|1|0|0|0|1|0|0
0|0|0|0|0|0|1|0|0|0|1|0|-0.636364|0|0|0|1|0|1|0|1|0|-0.7209300000000001|0|0|1|0|0|0|0|1|0|0|0|0|0|0|1|1|1|1|0|1.65714|0|4|0|0|0|0|0|0|0|0|0|0|1.17241|1|1|-0.793103|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.636364|0|0|0|0|-0.666667|1|0|1|1|0|1|0|0|0|0|1|0|0
0|0|0|0|0|1|0|0|0|0|0|0|-0.764706|0|0|0|0|0|0|0|0|0|-0.538462|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.771429|0|0|0|0|0|0|0|0|0|0|1|0|1.40741|0|0|-0.555556|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|-0.789474|0|0|0|0|-0.75|0|0|0|0|0|0|0|0|0|0|1|0|0
0|0|0|0|0|0|1|0|0|0|0|0|-0.4|0|0|0|1|1|0|0|1|0|-0.52|0|1|0|1|0|0|0|0|0|0|0|1|0|0|1|1|1|1|0|1.71429|0|3|0|0|0|0|0|0|0|0|0|0|0.65|1|0|-0.8|1|0|0|1|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|-0.76|0|0|0|0|-0.755102|1|0|1|0|0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|1|0|0|0|-0.625|0|1|0|0|0|0|0|1|0|-0.744681|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1.14286|0|1|0|0|0|0|0|0|0|0|0|0|0.575|0|0|-0.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|-0.684211|0|0|0|0|-0.755102|1|0|0|0|0|0|0|0|1|1|0|0|0
0|0|0|0|0|0|1|0|0|0|0|1|-0.571429|0|0|0|0|0|1|0|1|1|-0.744681|0|0|0|1|0|0|0|1|0|1|0|0|0|0|1|1|1|1|0|1.82857|0|5|0|0|0|0|1|0|0|0|0|0|1.23438|1|0|-0.8125|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|1|0|0|0|0|1|1|1|0|1|0|1|0|0|0|0|1|0|0|1|0|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|-0.636364|0|0|0|0|-0.7|1|0|1|1|0|0|0|1|0|1|1|0|0
0|0|0|0|0|0|1|0|1|0|1|1|-0.7735850000000001|0|0|0|1|1|0|0|1|1|-0.809524|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|1|1|0|0|1.8|0|3|0|0|0|0|0|0|0|1|0|0|0.857143|1|0|-0.809524|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|1|1|1|0|1|0|0|0|0|0|0|0|1|0|1|0|0|1|1|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|-0.454545|0|0|0|0|-0.657143|0|0|1|0|0|0|0|0|1|0|1|0|0
